Zip,City,State,HOH College,Spouse College
37166-6333,Smithville,TN,Agriculture,Human Ecology
35603-4736,Decatur,AL,Agriculture,Human Ecology
37027-4953,Brentwood,TN,Agriculture,Human Ecology
37030-1336,Carthage,TN,Agriculture,Human Ecology
37166-5069,Smithville,TN,Agriculture,Human Ecology
37645-3321,Mount Carmel,TN,Agriculture,Human Ecology
38501-7750,Cookeville,TN,Agriculture,Human Ecology
37076-2131,Hermitage,TN,Agriculture,Human Ecology
83847-5171,Naples,ID,Agriculture,Human Ecology
38583-7267,Sparta,TN,Agriculture,Human Ecology
38585-4646,Spencer,TN,Agriculture,Human Ecology
37663-4200,Kingsport,TN,Agriculture,Human Ecology
37841-2500,Oneida,TN,Agriculture,Interdisciplinary Studies
42718-7514,Campbellsville,KY,Agriculture,Interdisciplinary Studies
31407-5126,Savannah,GA,Agriculture,Interdisciplinary Studies
42286-8703,Trenton,KY,Agriculture,Interdisciplinary Studies
38583-2425,Sparta,TN,Agriculture,Interdisciplinary Studies
22514-2641,Milford,VA,Agriculture,Nursing
37604-6734,Johnson City,TN,Agriculture,Nursing
37075-8633,Hendersonville,TN,Agriculture,Nursing
37931-3580,Knoxville,TN,Agriculture,Nursing
38551-4907,Celina,TN,Agriculture,Nursing
38501-3048,Cookeville,TN,Agriculture,Nursing
37110-1849,Mc Minnville,TN,Agriculture,Nursing
38583-5404,Sparta,TN,Agriculture,Nursing
37343-2608,Hixson,TN,Agriculture,Nursing
38583-7242,Sparta,TN,Agriculture,Nursing
38577-4035,Pall Mall,TN,Agriculture,Nursing
37829-2812,Oakdale,TN,Agriculture,Nursing
38555-1330,Crossville,TN,Agriculture,Nursing
38549-4511,Byrdstown,TN,Agriculture,Nursing
37367-6816,Pikeville,TN,Agriculture,Nursing
38501-9230,Cookeville,TN,Agriculture,Nursing
38506-6191,Cookeville,TN,Agriculture,Nursing
38570-5930,Livingston,TN,Agriculture,Nursing
38571-0819,Crossville,TN,Agriculture,Nursing
37066-5755,Gallatin,TN,Agriculture,Nursing
38551-0312,Celina,TN,Agriculture,Nursing
37748-3420,Harriman,TN,Agriculture,Nursing
37166-6207,Smithville,TN,Agriculture,Nursing
75068-7832,Little Elm,TX,Agriculture,Nursing
37640-7816,Butler,TN,Agriculture,Nursing
38401-1390,Columbia,TN,Agriculture,Nursing
38570-6118,Livingston,TN,Agriculture,Nursing
38582-6220,Silver Point,TN,Agriculture,Nursing
37166-5490,Smithville,TN,Agriculture,Nursing
38556-5457,Jamestown,TN,Agriculture,Nursing
38111-6125,Memphis,TN,Agriculture,Nursing
06776-2441,New Milford,CT,Agriculture,
23503-3907,Norfolk,VA,Agriculture,
99511-0577,Anchorage,AK,Agriculture,
49106-9600,Bridgman,MI,Agriculture,
95926-3926,Chico,CA,Agriculture,
29229-8906,Columbia,SC,Agriculture,
30663-2020,Rutledge,GA,Agriculture,
03304-4913,Bow,NH,Agriculture,
08724-4636,Brick,NJ,Agriculture,
08648-1518,Lawrence Township,NJ,Agriculture,
19709-6616,Middletown,DE,Agriculture,
42002-0925,Paducah,KY,Agriculture,
07869-4135,Randolph,NJ,Agriculture,
19067-1733,Yardley,PA,Agriculture,
45039-8041,Maineville,OH,Agriculture,
38544-4301,Baxter,TN,Agriculture,
38544-4233,Baxter,TN,Agriculture,
29455-6115,Johns Island,SC,Agriculture,
16735-1263,Kane,PA,Agriculture,
38583-2518,Sparta,TN,Agriculture,
29651-2113,Greer,SC,Agriculture,
28792-5100,Hendersonville,NC,Agriculture,
37716-5523,Clinton,TN,Agriculture,
33414-7611,Wellington,FL,Agriculture,
46845-9687,Fort Wayne,IN,Agriculture,
19713-2406,Newark,DE,Agriculture,
23413-9133,Nassawadox,VA,Agriculture,
29461-7454,Moncks Corner,SC,Agriculture,
22974-3759,Troy,VA,Agriculture,
66204-1351,Overland Park,KS,Agriculture,
38506-5756,Cookeville,TN,Agriculture,
80602-7676,Thornton,CO,Agriculture,
23315-3035,Carrsville,VA,Agriculture,
37086-2537,La Vergne,TN,Agriculture,
37760-4229,Jefferson City,TN,Agriculture,
37660-7256,Kingsport,TN,Agriculture,
24015-2820,Roanoke,VA,Agriculture,
37190-5583,Woodbury,TN,Agriculture,
27107-9559,Winston Salem,NC,Agriculture,
27857-9432,Oak City,NC,Agriculture,
28147-7803,Salisbury,NC,Agriculture,
28611-9090,Collettsville,NC,Agriculture,
37095-0215,Liberty,TN,Agriculture,
37129-0869,Murfreesboro,TN,Agriculture,
27295-9547,Lexington,NC,Agriculture,
38506-5416,Cookeville,TN,Agriculture,
97219-6128,Portland,OR,Agriculture,
30223-8801,Griffin,GA,Agriculture,
28150-2804,Shelby,NC,Agriculture,
28144-2227,Salisbury,NC,Agriculture,
45320-9515,Eaton,OH,Agriculture,
37754-2815,Heiskell,TN,Agriculture,
28560-9338,New Bern,NC,Agriculture,
77384-1412,Conroe,TX,Agriculture,
37077-0011,Hendersonville,TN,Agriculture,
27360-7534,Thomasville,NC,Agriculture,
27607-4843,Raleigh,NC,Agriculture,
27107-6418,Winston Salem,NC,Agriculture,
27205-2503,Asheboro,NC,Agriculture,
27371-3304,Troy,NC,Agriculture,
38237-2703,Martin,TN,Agriculture,
83646-5476,Meridian,ID,Agriculture,
29528-0521,Conway,SC,Agriculture,
29649-1551,Greenwood,SC,Agriculture,
37143-2418,Pegram,TN,Agriculture,
30720-5224,Dalton,GA,Agriculture,
30735-6324,Resaca,GA,Agriculture,
30474-5415,Vidalia,GA,Agriculture,
30214-3235,Fayetteville,GA,Agriculture,
32778-5012,Tavares,FL,Agriculture,
30655-2274,Monroe,GA,Agriculture,
37774-2560,Loudon,TN,Agriculture,
37325-7319,Delano,TN,Agriculture,
38555-1525,Crossville,TN,Agriculture,
37129-2528,Murfreesboro,TN,Agriculture,
32803-3239,Orlando,FL,Agriculture,
33873-0043,Wauchula,FL,Agriculture,
38401-8040,Columbia,TN,Agriculture,
33176-4923,Miami,FL,Agriculture,
34736-8745,Groveland,FL,Agriculture,
37012-5044,Alexandria,TN,Agriculture,
37110-6672,McMinnville,TN,Agriculture,
32696-3245,Williston,FL,Agriculture,
38568-6212,Hilham,TN,Agriculture,
38501-6731,Cookeville,TN,Agriculture,
37923-6031,Knoxville,TN,Agriculture,
23113-2658,Midlothian,VA,Agriculture,
45320-2684,Eaton,OH,Agriculture,
37029-5522,Burns,TN,Agriculture,
45504-1414,Springfield,OH,Agriculture,
37841-6838,Oneida,TN,Agriculture,
45247-3401,Cincinnati,OH,Agriculture,
37354-7054,Madisonville,TN,Agriculture,
45238-4329,Cincinnati,OH,Agriculture,
37849-5003,Powell,TN,Agriculture,
42122-7806,Alvaton,KY,Agriculture,
37122-3588,Mount Juliet,TN,Agriculture,
46143-7006,Greenwood,IN,Agriculture,
37190-5521,Woodbury,TN,Agriculture,
38580-1960,Rickman,TN,Agriculture,
38549-4300,Byrdstown,TN,Agriculture,
37923-6615,Knoxville,TN,Agriculture,
46714-2034,Bluffton,IN,Agriculture,
38506-9044,Cookeville,TN,Agriculture,
37184-4209,Watertown,TN,Agriculture,
65109-0706,Jefferson City,MO,Agriculture,
40241-1590,Louisville,KY,Agriculture,
37179-5386,Thompsons Station,TN,Agriculture,
37211-5373,Nashville,TN,Agriculture,
18049-2532,Emmaus,PA,Agriculture,
48304-3640,Bloomfield Hills,MI,Agriculture,
38554-3701,Crawford,TN,Agriculture,
27569-9144,Princeton,NC,Agriculture,
38581-3631,Rock Island,TN,Agriculture,
38565-5054,Grimsley,TN,Agriculture,
38555-8602,Crossville,TN,Agriculture,
36109-0313,Montgomery,AL,Agriculture,
37013-2354,Antioch,TN,Agriculture,
37397-0692,Whitwell,TN,Agriculture,
42717-0130,Burkesville,KY,Agriculture,
37870-0026,Speedwell,TN,Agriculture,
42602-6490,Albany,KY,Agriculture,
37415-5907,Chattanooga,TN,Agriculture,
38501-7857,Cookeville,TN,Agriculture,
80501-4311,Longmont,CO,Agriculture,
37705-3030,Andersonville,TN,Agriculture,
37087-2623,Lebanon,TN,Agriculture,
37931-1823,Knoxville,TN,Agriculture,
37306-2663,Belvidere,TN,Agriculture,
37421-4458,Chattanooga,TN,Agriculture,
38506-7621,Cookeville,TN,Agriculture,
38549-6005,Byrdstown,TN,Agriculture,
37172-7113,Springfield,TN,Agriculture,
38501-4516,Cookeville,TN,Agriculture,
99737-1417,Delta Junction,AK,Agriculture,
38506-5059,Cookeville,TN,Agriculture,
37069-5113,Franklin,TN,Agriculture,
87120-5214,Albuquerque,NM,Agriculture,
30549-3149,Jefferson,GA,Agriculture,
37367-1106,Pikeville,TN,Agriculture,
37931-3000,Knoxville,TN,Agriculture,
37091-5613,Lewisburg,TN,Agriculture,
24421-2649,Churchville,VA,Agriculture,
38556-6063,Jamestown,TN,Agriculture,
33547-3912,Lithia,FL,Agriculture,
38544-5111,Baxter,TN,Agriculture,
07011-1847,Clifton,NJ,Agriculture,
38583-2986,Sparta,TN,Agriculture,
38506-5268,Cookeville,TN,Agriculture,
37073-5073,Greenbrier,TN,Agriculture,
38501-5600,Cookeville,TN,Agriculture,
38551-5125,Celina,TN,Agriculture,
72653-1801,Mountain Home,AR,Agriculture,
66061-9093,Olathe,KS,Agriculture,
37110-4680,Mc Minnville,TN,Agriculture,
38063-4024,Ripley,TN,Agriculture,
38571-2036,Crossville,TN,Agriculture,
30152-4689,Kennesaw,GA,Agriculture,
38012-2906,Brownsville,TN,Agriculture,
30542-5050,Flowery Branch,GA,Agriculture,
38583-5424,Sparta,TN,Agriculture,
38506-7058,Cookeville,TN,Agriculture,
38549-0712,Byrdstown,TN,Agriculture,
38556-0986,Jamestown,TN,Agriculture,
37335-5145,Flintville,TN,Agriculture,
38544-0091,Baxter,TN,Agriculture,
38556-6523,Jamestown,TN,Agriculture,
37145-3334,Pleasant Shade,TN,Agriculture,
35802-3222,Huntsville,AL,Agriculture,
38556-0524,Jamestown,TN,Agriculture,
38556-6143,Jamestown,TN,Agriculture,
37809-3439,Midway,TN,Agriculture,
38572-1744,Crossville,TN,Agriculture,
38572-8114,Crossville,TN,Agriculture,
38565-5092,Grimsley,TN,Agriculture,
20602-2008,Waldorf,MD,Agriculture,
38574-3260,Monterey,TN,Agriculture,
37115-3232,Madison,TN,Agriculture,
37043-5603,Clarksville,TN,Agriculture,
37138-2711,Old Hickory,TN,Agriculture,
37321-1060,Dayton,TN,Agriculture,
37127-6350,Murfreesboro,TN,Agriculture,
37415-1507,Chattanooga,TN,Agriculture,
38506-4402,Cookeville,TN,Agriculture,
